"Fichier","Espace","Angle","Informations utiles","Dimensions","Qualité","Garder ?","Motif"
"01-orgue-reference/orgue-angle-droit-cablage-img-1041.jpg","orgue-reference","trois-quarts droit","orgue angle droit cablage","4032x3024","haute","rejected","Doublon, cadrage moins informatif ou non requis par la shot list V3"
"01-orgue-reference/orgue-angle-droit-complet-img-1037.jpg","orgue-reference","trois-quarts droit","orgue angle droit complet","5712x4284","haute","rejected","Doublon, cadrage moins informatif ou non requis par la shot list V3"
"01-orgue-reference/orgue-angle-droit-sans-pochettes-img-1045.jpg","orgue-reference","trois-quarts droit","orgue angle droit sans pochettes","4032x3024","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"01-orgue-reference/orgue-claviers-vue-plongeante-img-1039.jpg","orgue-reference","plongée","orgue claviers vue plongeante","4032x3024","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"01-orgue-reference/orgue-commandes-centre-detail-img-1043.jpg","orgue-reference","détail","orgue commandes centre detail","4032x3024","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"01-orgue-reference/orgue-commandes-claviers-detail-img-1044.jpg","orgue-reference","détail","orgue commandes claviers detail","4032x3024","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"01-orgue-reference/orgue-commandes-gauche-detail-img-1042.jpg","orgue-reference","détail","orgue commandes gauche detail","5712x4284","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"01-orgue-reference/orgue-commandes-intermezzo-detail-img-1064.jpg","orgue-reference","détail","orgue commandes intermezzo detail","4032x3024","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"01-orgue-reference/orgue-commandes-temptation-detail-img-1065.jpg","orgue-reference","détail","orgue commandes temptation detail","5712x4284","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"01-orgue-reference/orgue-face-complete-img-1036.jpg","orgue-reference","frontal","orgue face complete","5712x4284","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"01-orgue-reference/orgue-face-contexte-bureau-img-1047.jpg","orgue-reference","frontal","orgue face contexte bureau","4032x3024","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"01-orgue-reference/orgue-face-plan-large-mur-img-1040.jpg","orgue-reference","plan large","orgue face plan large mur","4032x3024","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"01-orgue-reference/orgue-plan-large-piece-img-1048.jpg","orgue-reference","plan large","orgue plan large piece","4032x3024","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"01-orgue-reference/orgue-profil-gauche-pedalier-img-1038.jpg","orgue-reference","profil","orgue profil gauche pedalier","5712x4284","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"01-orgue-reference/orgue-profil-gauche-tour-pc-img-1046.jpg","orgue-reference","profil","orgue profil gauche tour pc","4032x3024","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"02-orgue-et-pochettes/orgue-pochettes-angle-droit-img-1087.jpg","orgue-et-pochettes","trois-quarts droit","orgue pochettes angle droit","5712x4284","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"02-orgue-et-pochettes/orgue-pochettes-angle-gauche-img-1032.jpg","orgue-et-pochettes","trois-quarts gauche","orgue pochettes angle gauche","5712x4284","haute","rejected","Doublon, cadrage moins informatif ou non requis par la shot list V3"
"02-orgue-et-pochettes/orgue-pochettes-angle-gauche-serre-img-1089.jpg","orgue-et-pochettes","trois-quarts gauche","orgue pochettes angle gauche serre","5712x4284","haute","rejected","Doublon, cadrage moins informatif ou non requis par la shot list V3"
"02-orgue-et-pochettes/orgue-pochettes-face-contexte-img-1093.jpg","orgue-et-pochettes","frontal","orgue pochettes face contexte","5712x4284","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"02-orgue-et-pochettes/orgue-pochettes-face-large-img-1088.jpg","orgue-et-pochettes","frontal","orgue pochettes face large","5712x4284","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"02-orgue-et-pochettes/orgue-pochettes-face-portrait-img-1030.jpg","orgue-et-pochettes","portrait","orgue pochettes face portrait","5712x4284","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"02-orgue-et-pochettes/orgue-pochettes-face-rapprochee-img-1031.jpg","orgue-et-pochettes","frontal","orgue pochettes face rapprochee","5712x4284","haute","selected","Référence explicitement utilisée par au moins une génération V3"
"02-orgue-et-pochettes/orgue-pochettes-face-selection-img-1092.jpg","orgue-et-pochettes","frontal","orgue pochettes face selection","5712x4284","haute","rejected","Doublon, cadrage moins informatif ou non requis par la shot list V3"
