"method","route","file","source_system","harvest_mapping","public_contract","audit_status"
"GET","/api/albums/[id]","src/app/api/albums/[id]/route.ts","Harvest Public API / Parigo server session","GET /getalbum/{memberToken}/{id}; GET /getalbumtracks/{memberToken}/{id}/mainonly","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/albums","src/app/api/albums/route.ts","Harvest Public API / Parigo server session","GET /getfeaturedalbums ou /getlatestalbums","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"POST","/api/auth/forgot-password","src/app/api/auth/forgot-password/route.ts","Harvest Public API / Parigo server session","POST /sendpasswordresetemail/{serviceToken}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"POST","/api/auth/login","src/app/api/auth/login/route.ts","Harvest Public API / Parigo server session","POST /getmembertoken/{serviceToken}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"POST","/api/auth/logout","src/app/api/auth/logout/route.ts","Harvest Public API / Parigo server session","GET /expiretoken/{memberToken}; POST /expirepersistentlogintoken/{serviceToken}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"POST","/api/auth/register","src/app/api/auth/register/route.ts","Harvest Public API / Parigo server session","POST /validateusername; /validatememberemail; /registermember; /sendmemberverifylinkemail","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/auth/reset-password","src/app/api/auth/reset-password/route.ts","Harvest Public API / Parigo server session","GET /validatepasswordresettoken/{serviceToken}/{resetToken}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"POST","/api/auth/reset-password","src/app/api/auth/reset-password/route.ts","Harvest Public API / Parigo server session","POST /updatepasswordusingtoken/{serviceToken}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/auth/session","src/app/api/auth/session/route.ts","Harvest Public API / Parigo server session","Session Parigo chiffrée; refresh /validatepersistentlogintoken","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/auth/verify","src/app/api/auth/verify/route.ts","Harvest Public API / Parigo server session","GET /validateverifymembertoken; POST /verifymember","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"POST","/api/auth/verify","src/app/api/auth/verify/route.ts","Harvest Public API / Parigo server session","GET /validateverifymembertoken; POST /verifymember","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/autocomplete","src/app/api/autocomplete/route.ts","Harvest Public API / Parigo server session","POST /autocomplete/{memberToken}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/categories","src/app/api/categories/route.ts","Harvest Public API / Parigo server session","GET /getcategories/{memberToken}/hasactivetrackonly","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"POST","/api/client-errors","src/app/api/client-errors/route.ts","Harvest Public API / Parigo server session","Harvest domain service; see runtime route matrix","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"POST","/api/contact","src/app/api/contact/route.ts","Harvest Public API + Harvest catalogue lookup","POST /sendcontactusemail/{serviceToken}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/countries","src/app/api/countries/route.ts","Harvest Public API / Parigo server session","GET /getregions/{serviceToken}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"POST","/api/cuesheet","src/app/api/cuesheet/route.ts","Harvest Public API / Parigo server session","POST /getcuesheet/{memberToken}?filename=...","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/download-formats","src/app/api/download-formats/route.ts","Harvest Public API / Parigo server session","GET /getserviceinfo/{serviceToken}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/engage-playlist/[token]","src/app/api/engage-playlist/[token]/route.ts","Harvest Public API / Parigo server session","GET /getsharemusic/{memberToken}/{accessToken}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/genres","src/app/api/genres/route.ts","Harvest Public API / Parigo server session","GET /getcategories/{memberToken}/hasactivetrackonly","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/health","src/app/api/health/route.ts","Harvest Public API / Parigo server session","GET /getserviceinfo/{serviceToken}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/instruments","src/app/api/instruments/route.ts","Harvest Public API / Parigo server session","GET /getcategories/{memberToken}/hasactivetrackonly","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/labels/[slug]","src/app/api/labels/[slug]/route.ts","Harvest Public API / Parigo server session","GET /getlibrary/{memberToken}/{id}; lectures albums","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/labels","src/app/api/labels/route.ts","Harvest Public API / Parigo server session","GET /getlibraries/{memberToken}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/moods","src/app/api/moods/route.ts","Harvest Public API / Parigo server session","GET /getcategories/{memberToken}/hasactivetrackonly","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/playlists/[slug]","src/app/api/playlists/[slug]/route.ts","Harvest Public API / Parigo server session","POST /getfeaturedplaylistandtracks/{memberToken}/{id}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/playlists","src/app/api/playlists/route.ts","Harvest Public API / Parigo server session","GET /getfeaturedplaylistsplaylistonly/{memberToken}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/search/composers","src/app/api/search/composers/route.ts","Harvest Public API / Parigo server session","Harvest domain service; see runtime route matrix","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/search/filters","src/app/api/search/filters/route.ts","Harvest Public API / Parigo server session","GET /getcategories; GET /getlibraries","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/search","src/app/api/search/route.ts","Harvest Public API / Parigo server session","POST /cloudsearch/{memberToken} | POST /cloudsearch/{guest|memberToken}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/tracks/[id]/right-holders","src/app/api/tracks/[id]/right-holders/route.ts","Harvest Public API / Parigo server session","GET /getrightholders/{guestOrMemberToken}/{trackId}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/tracks/[id]","src/app/api/tracks/[id]/route.ts","Harvest Public API / Parigo server session","POST /gettracks/{memberToken}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/tracks/[id]/waveform","src/app/api/tracks/[id]/waveform/route.ts","Harvest Public API / Parigo server session","URL WaveformURL issue de /getserviceinfo","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/tracks","src/app/api/tracks/route.ts","Harvest Public API / Parigo server session","GET /getalbumtracks/{memberToken}/{id}/mainonly","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"POST","/api/user/change-password","src/app/api/user/change-password/route.ts","Harvest Public API / Parigo server session","POST /sendpasswordresetemail/{serviceToken}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/user/communications","src/app/api/user/communications/route.ts","Harvest Public API / Parigo server session","GET /gethistorybycommunications/{memberToken}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"DELETE","/api/user/delete","src/app/api/user/delete/route.ts","Harvest Public API / Parigo server session","GET /removemember/{memberToken}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/user/downloads/[token]","src/app/api/user/downloads/[token]/route.ts","Harvest Public API / Parigo server session","Harvest domain service; see runtime route matrix","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/user/downloads","src/app/api/user/downloads/route.ts","Harvest Public API / Parigo server session","GET /getdownloadhistorybymembertoken/{memberToken}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"POST","/api/user/downloads","src/app/api/user/downloads/route.ts","Harvest Public API / Parigo server session","POST /validatemusicdownloadrequest puis /getmusicdownload/{memberToken} | Template ServiceInfoURLs.DirectDownloadURL","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"POST","/api/user/downloads/status","src/app/api/user/downloads/status/route.ts","Harvest Public API / Parigo server session","GET /getmusicdownloadinfo/{serviceToken}?DownloadID=... ou DownloadGroupID=...","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/user/favorites/albums","src/app/api/user/favorites/albums/route.ts","Harvest Public API / Parigo server session","GET /getfavourites/{memberToken}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"POST","/api/user/favorites/albums","src/app/api/user/favorites/albums/route.ts","Harvest Public API / Parigo server session","GET /addtofavourites/{memberToken}/Album/{id}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"DELETE","/api/user/favorites/albums","src/app/api/user/favorites/albums/route.ts","Harvest Public API / Parigo server session","Aucun endpoint album dédié identifié; boucle /removefavouritestrack","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/user/favorites","src/app/api/user/favorites/route.ts","Harvest Public API / Parigo server session","GET /getfavourites/{memberToken}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/user/favorites/tracks","src/app/api/user/favorites/tracks/route.ts","Harvest Public API / Parigo server session","GET /getfavourites/{memberToken}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"POST","/api/user/favorites/tracks","src/app/api/user/favorites/tracks/route.ts","Harvest Public API / Parigo server session","GET /addtofavourites/{memberToken}/Track/{id}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"DELETE","/api/user/favorites/tracks","src/app/api/user/favorites/tracks/route.ts","Harvest Public API / Parigo server session","GET /removefavouritestrack/{memberToken}/{trackId}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/user/history","src/app/api/user/history/route.ts","Harvest Public API / Parigo server session","GET /gethistorybymembertoken/{memberToken}","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"POST","/api/user/history","src/app/api/user/history/route.ts","Harvest Public API / Parigo server session","Harvest domain service; see runtime route matrix","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"DELETE","/api/user/history","src/app/api/user/history/route.ts","Harvest Public API / Parigo server session","Aucun endpoint Public API identifié","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"PATCH","/api/user/playlist-categories/[id]","src/app/api/user/playlist-categories/[id]/route.ts","Harvest Public API / Parigo server session","Harvest domain service; see runtime route matrix","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"DELETE","/api/user/playlist-categories/[id]","src/app/api/user/playlist-categories/[id]/route.ts","Harvest Public API / Parigo server session","Harvest domain service; see runtime route matrix","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"GET","/api/user/playlist-categories","src/app/api/user/playlist-categories/route.ts","Harvest Public API / Parigo server session","getmemberplaylistcategoriesandplaylists; addmemberplaylistcategory; updateplaylistcategory; removeplaylistcategory","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
"POST","/api/user/playlist-categories","src/app/api/user/playlist-categories/route.ts","Harvest Public API / Parigo server session","getmemberplaylistcategoriesandplaylists; addmemberplaylistcategory; updateplaylistcategory; removeplaylistcategory","Preserved","Mapped statically; live status recorded in runtime-route-matrix.csv"
