"api_family","section","endpoint_name","method_doc","documented_url","endpoint_key","documented_payload_fields","documented_json_status","parigo_status","parigo_code_refs","parigo_payload_or_query","conformance","live_evidence","evidence_or_note"
"Public API","Public API > Getting Started","Get Authorised","POST","{HM_ServiceAPI_AuthUrl}","oauth2/token","grant_type, client_id, client_secret","not-applicable","implemented","src/lib/harvest/client.ts:163","form: grant_type, client_id, client_secret","conforme","exécuté en live avec succès, ou mutation réversible confirmée par relecture puis nettoyage","Méthode, chemin, type de jeton et paramètres/payload conformes au contrat publié pour la variante utilisée."
"Public API","Public API > Getting Started","Get Service Token","GET","{HM_ServiceAPI_URL}/getservicetoken","getservicetoken","","not-applicable","implemented","src/lib/harvest/client.ts:263","aucun body; paramètres dans l'URL","conforme","exécuté en live avec succès, ou mutation réversible confirmée par relecture puis nettoyage","Méthode, chemin, type de jeton et paramètres/payload conformes au contrat publié pour la variante utilisée."
"Public API","Public API > Getting Started","Validate Service Token","GET","{HM_ServiceAPI_URL}/getservicetokeninfo/{HM_ServiceAPI_Token}","getservicetokeninfo","","not-applicable","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Getting Started","Expire Service Token","GET","{HM_ServiceAPI_URL}/expiretoken/{HM_ServiceAPI_Token}","expiretoken","","not-applicable","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Service Information","Get Service Info (Service Asset URLs and File Formats)","GET","{HM_ServiceAPI_URL}/getserviceinfo/{HM_ServiceAPI_Token}","getserviceinfo","","not-applicable","implemented","src/lib/harvest/client.ts:284","aucun body; paramètres dans l'URL","conforme","exécuté en live avec succès, ou mutation réversible confirmée par relecture puis nettoyage","Méthode, chemin, type de jeton et paramètres/payload conformes au contrat publié pour la variante utilisée."
"Public API","Public API > Service Information","Get Service Attributes","GET","{HM_ServiceAPI_URL}/getserviceattribute/{HM_ServiceAPI_Token}/{attributeTypeCode}","getserviceattribute","","not-applicable","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Service Information","Get Short URL","POST","{HM_ServiceAPI_URL}/getshorturl/{HM_ServiceAPI_Token}","getshorturl","URL","valid","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Regions & Countries","Get Regions","GET","{HM_ServiceAPI_URL}/getregions/{HM_ServiceAPI_Token}","getregions","","not-applicable","implemented","src/lib/harvest/client.ts:318 | src/lib/harvest/member.ts:245","aucun body; paramètres dans l'URL","conforme","exécuté en live avec succès, ou mutation réversible confirmée par relecture puis nettoyage","Méthode, chemin, type de jeton et paramètres/payload conformes au contrat publié pour la variante utilisée."
"Public API","Public API > Regions & Countries","Get Region","GET","{HM_ServiceAPI_URL}/getregion/{HM_ServiceAPI_Token}/{RegionID}","getregion","","not-applicable","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Regions & Countries","Get Regions By IP","GET","{HM_ServiceAPI_URL}/getregionbyip/{HM_ServiceAPI_Token}?ip={IP}","getregionbyip","","not-applicable","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Regions & Countries","Get Countries","GET","{HM_ServiceAPI_URL}/getcountries/{HM_ServiceAPI_Token}","getcountries","","not-applicable","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Guest Management","Authenticate Guest Member","GET","{HM_ServiceAPI_URL}/getguestmembertoken/{HM_ServiceAPI_Token}/{Region_ID}","getguestmembertoken","","not-applicable","implemented","src/lib/harvest/client.ts:336","aucun body; paramètres dans l'URL","conforme","exécuté en live avec succès, ou mutation réversible confirmée par relecture puis nettoyage","Méthode, chemin, type de jeton et paramètres/payload conformes au contrat publié pour la variante utilisée."
"Public API","Public API > Accessing Metadata > Libraries","Get Labels/Libraries","GET","{HM_ServiceAPI_URL}/getlibraries/{HM_ServiceAPI_MemberToken}","getlibraries","","not-applicable","implemented","src/lib/harvest/catalog.ts:438","aucun body; paramètres dans l'URL","conforme","exécuté en live avec succès, ou mutation réversible confirmée par relecture puis nettoyage","Méthode, chemin, type de jeton et paramètres/payload conformes au contrat publié pour la variante utilisée."
"Public API","Public API > Accessing Metadata > Libraries","Get Labels/Libraries (Include Inactive)","GET","{HM_ServiceAPI_URL}/getlibraries/{HM_ServiceAPI_MemberToken}/includeinactive","getlibraries","","not-applicable","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Accessing Metadata > Libraries","Get Label/Library","GET","{HM_ServiceAPI_URL}/getlibrary/{HM_ServiceAPI_MemberToken}/{LibraryID}?returnCodes={returnCodes}","getlibrary","","not-applicable","implemented","src/lib/harvest/catalog.ts:466","aucun body; paramètres dans l'URL","conforme","exécuté en live avec succès, ou mutation réversible confirmée par relecture puis nettoyage","Méthode, chemin, type de jeton et paramètres/payload conformes au contrat publié pour la variante utilisée."
"Public API","Public API > Accessing Metadata > Styles","Get Style Groups","GET","{HM_ServiceAPI_URL}/getstylegroups/{HM_ServiceAPI_MemberToken}","getstylegroups","","not-applicable","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Accessing Metadata > Styles","Get Styles","GET","{HM_ServiceAPI_URL}/getstyles/{HM_ServiceAPI_MemberToken}?groupID={GroupID}&allowEmptyStyle=false","getstyles","","not-applicable","implemented","src/lib/harvest/catalog.ts:584","aucun body; paramètres dans l'URL","conforme","exécuté en live avec succès, ou mutation réversible confirmée par relecture puis nettoyage","Méthode, chemin, type de jeton et paramètres/payload conformes au contrat publié pour la variante utilisée."
"Public API","Public API > Accessing Metadata > Styles","Get Styles By Language Code","GET","{HM_ServiceAPI_URL}/getstyles/{HM_ServiceAPI_MemberToken}/{LanguageCode}?groupID={GroupID}","getstyles","","not-applicable","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Accessing Metadata > Albums","Get Albums By Label/Library","GET","{HM_ServiceAPI_URL}/getalbums/{HM_ServiceAPI_MemberToken}/{LibraryID}","getalbums","","not-applicable","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Accessing Metadata > Albums","Get Albums By Label/Library (Include Inactive)","GET","{HM_ServiceAPI_URL}/getalbums/{HM_ServiceAPI_MemberToken}/{LibraryID}/includeinactive","getalbums","","not-applicable","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
"Public API","Public API > Accessing Metadata > Albums","Get Albums By Style","POST","{HM_ServiceAPI_URL}/getalbumsbystyles/{HM_ServiceAPI_MemberToken}","getalbumsbystyles","style, style[].id, mainOnly","valid","not-implemented","","","not-applicable","non exécuté par Parigo","Aucun appel de production Parigo pour cette variante; contrôle documentaire statique seulement."
