"album_code";"album_id";"album";"track_id";"main_track_id";"parent_track_id";"work_id";"titre";"version";"type";"composer_actuel";"composer_attendu";"artist_distinct";"ayants_droit_structurés";"anomalies";"statut"
"PGO0056";"350c4288801b5d94";"Acid Body Music";"d61fac27d92967dbdce0e34f80eeefb4";"";"";"d61fac27d92967dbdce0e34f80eeefb4";"All The Arps";"Main";"main";"Modulhater (SACEM)";"Modulhater";"Modulhater";"Modulhater";"society-suffix · preferred-name";"cleanup-required"
"PGO0056";"350c4288801b5d94";"Acid Body Music";"16e4e420eba04ed255f41004b55e4060";"d61fac27d92967dbdce0e34f80eeefb4";"";"d61fac27d92967dbdce0e34f80eeefb4";"All The Arps 30 sec";"30 sec";"alternate";"Modulhater (SACEM)";"Modulhater";"Modulhater";"";"society-suffix · preferred-name";"cleanup-required"
"PGO0056";"350c4288801b5d94";"Acid Body Music";"3688ebf05a547ccc27caff994236dfb4";"d61fac27d92967dbdce0e34f80eeefb4";"";"d61fac27d92967dbdce0e34f80eeefb4";"All The Arps 60 sec";"60 sec";"alternate";"Modulhater (SACEM)";"Modulhater";"Modulhater";"";"society-suffix · preferred-name";"cleanup-required"
"PGO0056";"350c4288801b5d94";"Acid Body Music";"f86a54a075cc7ad7a6df7c3e79ca8f3a";"d61fac27d92967dbdce0e34f80eeefb4";"";"d61fac27d92967dbdce0e34f80eeefb4";"All The Arps Stem Dark";"Stem Dark";"alternate";"Modulhater (SACEM)";"Modulhater";"Modulhater";"";"society-suffix · preferred-name";"cleanup-required"
"PGO0056";"350c4288801b5d94";"Acid Body Music";"75306f17585fb621acb8dcb877285d59";"d61fac27d92967dbdce0e34f80eeefb4";"";"d61fac27d92967dbdce0e34f80eeefb4";"All The Arps Stem Juno";"Stem Juno";"alternate";"Modulhater (SACEM)";"Modulhater";"Modulhater";"";"society-suffix · preferred-name";"cleanup-required"
"PGO0056";"350c4288801b5d94";"Acid Body Music";"0d421eaa72bb37a160311e4edbe3ccd6";"d61fac27d92967dbdce0e34f80eeefb4";"";"d61fac27d92967dbdce0e34f80eeefb4";"All The Arps Stem MS20";"Stem MS20";"alternate";"Modulhater (SACEM)";"Modulhater";"Modulhater";"";"society-suffix · preferred-name";"cleanup-required"
"PGO0056";"350c4288801b5d94";"Acid Body Music";"468eb459ba29c5cd811f59bd0f1e9684";"d61fac27d92967dbdce0e34f80eeefb4";"";"d61fac27d92967dbdce0e34f80eeefb4";"All The Arps Stem SH 1";"Stem SH 1";"alternate";"Modulhater (SACEM)";"Modulhater";"Modulhater";"";"society-suffix · preferred-name";"cleanup-required"
"PGO0056";"350c4288801b5d94";"Acid Body Music";"10455589090cc1f0cbd39f711c97d335";"d61fac27d92967dbdce0e34f80eeefb4";"";"d61fac27d92967dbdce0e34f80eeefb4";"All The Arps Stem TR83";"Stem TR8 3";"alternate";"Modulhater (SACEM)";"Modulhater";"Modulhater";"";"society-suffix · preferred-name";"cleanup-required"
"PGO0056";"350c4288801b5d94";"Acid Body Music";"7527f62fd8b23c09d50760c0e210dd33";"d61fac27d92967dbdce0e34f80eeefb4";"";"d61fac27d92967dbdce0e34f80eeefb4";"All The Arps Stem SH 10";"Stem SH 10";"alternate";"Modulhater (SACEM)";"Modulhater";"Modulhater";"";"society-suffix · preferred-name";"cleanup-required"
"PGO0056";"350c4288801b5d94";"Acid Body Music";"dc2c476e897f023aa91ecfb1e865b232";"";"";"dc2c476e897f023aa91ecfb1e865b232";"Delta Cancrides";"Main";"main";"Modulhater (SACEM)";"Modulhater";"Modulhater";"Modulhater";"society-suffix · preferred-name";"cleanup-required"
