"valeur_actuelle";"valeur_canonique_proposée";"actions";"pistes";"albums";"versions";"justifications";"validation"
"[VIDE]";"";"no-change";"2fc58889c9c7c39eea083a39965d6bef · ae18ac21ca11adefc5034a93d4cd303c · 8f3941ed47e8e7e348ec84b95584330f · 29bfe28d5a51e4ef96dac48ff7e1511d · 692e52b0715d6cac7a0df13751739da7 · e637afbc679c8cf16b5565e08797fbeb · 2d60b593b5c6953085efa14ac51d6f8a · c80e462881843eb2e52be2419c3cdf8b · aaa4a04cbdf0f49b0fce3a33c78e5b40 · e6e4e1d4f86a8914840863fa91001b8c · 14ffab295a516a39c0f3ee6c367fc5a2 · 4d35938510e85c3074c6ef8e0b128160 · e6eac8acb855ed8887104a7da7cae277";"PGO0050 · Riviera Bizarre";"Stem Backing Vocals · Stem Bass · Stem Chords · Stem Melody · Stem Rhythm · 30 sec · 15 sec · Main";"aucun-compositeur";"pilot-pending"
"2080";"2080";"no-change";"1e19c3fb4db7dfc9 · 622740c6a94cc1a5 · f41517c5b7171975 · 19ed517e7b7badce · c703bbdcf40ca6bc · 607762be1349178b · d0abffcc90baf03c · d6f50a1a3fc09b88 · 0eca2e38f587f6cc · ef7989756c1727e8 · 4073a930dee04cf5 · 03f387604461fc63 · 05f967b1928d9be3 · 95438efd3e1c2f99 · 2991a37d7795dbce · 769ee077fc732b66 · c62b6f01c52f637e · c5861a689a04e845 · 5dc9ded0f2fc49e4 · de6e02db027aaf41 · dd4026dbf33dd2c6 · 6bb60372ff530eb2 · 42f5913a2d0b180d · 05428194b0b967ef · ce5a7499983de492 · 86b8412bf43ec5a8 · 74315e876172fadb · d1adc071e856715b · 5cb9b5e44833fad6 · da3e515397a6a48c · d959fb21f791ea85 · 6d7dc5ca54b15c71 · 437a22f13e8c96f7 · 9deb71cf1cfd6afb · fae31eda02159382 · 8562add543ef1465 · 8ed0552fb78c3cb5 · f2b34add82e89bec · 9cd34db42eab6073 · 8ad744edf1b7cd53 · d9763997044ef1de · 1449ace6609cc034 · 0b3da3431a413d84 · 4aed20d4eba95072 · 29ca6a95bece2032 · 11b1c06129aa06a9 · 9ead3ba4fbd3dafa · e6767e7ae005f529 · 22cc896eeec38224 · e9bcf6acd793b8d1 · 546b4e568b0f6389 · 1f104643e6e9b6c3 · cb4c0221cee6ae89 · 4ad966bc7a98e576 · 07d9f4190973c110 · c9533434eabcef77 · 092051f20a1a185f · 62e1a1d22420ffa9 · c1cacd0efdaec19b · 6a5e5705bcccc17e · c9cef89fb1042fd1 · e2abd6380c25447d · bbdee8a5016b5eba · a6b9bad02eb5390e · ea7d787ceeb81931 · 71b824ec0b3455df · 7943044bee2f6f24 · fee379d4c13de5b1 · ac8bc6f74bd8ce30 · 39f189f92729a3dc · 3005863a7123936d · d802c7db2062edc1 · aad1d6b66905226b · 97fc00b0f786eb1f · ee163b419491d778 · 773ba1529855327d · ff72979e90e279b4 · 9787bee264ed180e · e0b50e9408c8a956 · 9af2200869e5f901 · 893f1fcc31807e66 · 94ed31872c1d2106 · 22dacf12ae353be4 · 95505cd80e28786d · 3a06a0ce01f56da8 · 8df2a63eba2c6271 · ce5043ff54d73537 · 3923a089709d33ce · be810288deb5782c · 7e09235f60024ecf · 5200f909b5a4cc8b · b94c9f3d7e61abad · 0d9b3e622deadcc9 · 36f1946681c149c5 · d6915ccf2d143ece · a8bf526c40440c26 · 98656cad5ba92454 · 1ca4c15fb35a42d7 · 0cd3502975482dde · 6386964b37eb5f55 · 44703f6f1b71f6c7 · 2e76aabad2b39f8c · 0fc90b196a840371 · da2c2bf1cb5e66e8 · 9c0647c54a48d2ba · a97d041e1a72882e · eee1a893d226fe2c · 0c4138a2ed582a4c · 844cd740f6e7655c · 5b2af3d9ff5a4f66 · cdb2a68eaf2c92f6 · 32c12b77e162e59e · bef924846c266f14 · 9c9f7b2101441fe9 · e46b57337158a423 · 2f4035562d91f785 · 6f9f1495cc7ed4e3 · dc60ff0c9332d35c";"PGO0045 · Pixel Fiction";"Main · Stem Bass · Stem Chiptune · Stem Drums · Stem Fx · Stem Synth · 30 sec · 60 sec · Stem Vocals · Stem Voices · Stem Oud";"déjà-canonique";"pilot-pending"
"Adalber GAVIRA (SACEM)";"Adalber GAVIRA";"update";"b1358f5138902a06 · e52039e5d3bc7190 · 927483eddd838518 · 124772409ab5e6de · b155f752d80ffa49 · 2792708658673288 · 0e0f69cd94f39e03 · 813ca907577529dc · 75dda93bbeb0df80 · 9b5cc81cd00b3be4";"PGO0026 · Latin Experience";"Main · Commercial";"identité-canonique-courante+normalisation-mécanique · identité-canonique-courante+identité-structurée-courante";"pilot-pending"
"Alain Lubrano (NS)";"Alain Lubrano";"update";"d881b0c4f0a0d720 · 104c0644986c9461 · 21a96507b722187f · 74360edec8523ac6 · 08aba4cf9e637713";"PGO0006 · Acoustic Trip";"Main · Alternate · Light · General Underscore";"identité-canonique-courante+identité-structurée-courante · identité-canonique-courante+normalisation-mécanique";"pilot-pending"
"Alexandre Reiss (NS)";"Alexandre Reiss";"update";"699494de1b15e890 · 67af0ccfc76c2572 · 206edd3fff2ad664";"PGO0015 · Reggae Experience";"Main · General Underscore";"identité-canonique-courante+identité-structurée-courante · identité-canonique-courante+normalisation-mécanique";"pilot-pending"
"Alexis Molenat";"Alexis Molenat";"needs-review · no-change";"31a0c8ac2933e4c4 · 937d234818871592 · e42389ae39e46fe8 · 23008c29b0472de0 · 7948c59cbed1b3d2 · becdd8e499947223 · a78b2b6f55d85dbf · cf77de91528d9b4c · d01985ce8488e525 · 56801320eb1fc366 · b602d107b7a0b0c8 · c25420f1bba01906 · 0419439eacd14b26 · 92d31528787434ab · 82cb295b0ff0e11b · efd3cc295991495d · e323bbc9b5f0e4c7 · a6085fb1235d87e2 · f20d7c075fc0d1c1 · bd17bf0c752f2a0b · d33a95b7675446d8 · 6547b814b3ec4ffc · fce1fa70b3c9a9a2 · 58c00414d627395b · de15ddaa257eb2e6 · e41f531b9bee8fb3 · d7c0c77d1af483f9 · 3b6e17c2ad990bbb · 508b21adf4e1f222 · cbbd6009be560235 · ab2072c1e68e5249 · 95dda0bb50984b36 · cfc3bd6ec041825c · d0437f491bc1eed7 · 8aa67e2863d2d03a · 5530652a43e2284c · 1608c292fbf44690 · a405df65cb548d21 · e621265606abc059 · 6efda9626fc56e38 · 1bf4caf31017b33e · a252c63cdfe17597 · bc22103af9e497c7 · 6755745eb206d515 · 6181d005ee12e2eb · c383634059b37877 · 522f4d8ea4f0a91a · a13bba8236a21779 · 99314e240b2c2329 · 4b8ef9d4917c6ecc · cefa729bc41c77a9 · 0e259e010aa43fba · 5a39e75be56dec58 · 099357d77640a3e0 · 1ff17862a058b642 · ad48c8c7f48d211d · 54bd854adb45fba5 · b8137362382cc13d · 205d8557861e3aab · 15582a7e0746ee5c · 2e30a77733d00662 · 7866f5f7bdf50091 · f1c2f3b66ca35aaa · 20f7c8c1440aaac2 · d1f484f352f81545 · 9712919fb0baaf02 · 062237b8bd5d0f0a · 822761e59843e629 · 711bcf6a76b4d4c6 · 77161dac9f55606b · 5adf40833ddaf606 · b1fdfdf151c1c47f · 010952cc7da7719b · 1e5260fd7b3e191d · 9c7d74ebb1dcefe1 · e2d9bebfedb7c2ec · 27f5ca27cf292616 · cd67681fa6b18f41 · dce83da0e5454c07 · 9f54bee29fbf6ba9 · 106bfed396bc616a · 8f027183532ab650 · 079a6bf014eb26bf · 26daec1882e5e832 · cecc26bbc4e786e3 · 7b820b891619469b · bc342c097c6df364 · 9f184887644ed3a7 · dd05f045eb46f4b9 · 63983e6c0feba66b · 5874a65d845d1218 · f2d6e863c974686a · fe887999a476b20e · 902f2e72c188623a · f40f9fe5c1744251 · 378bd476454f254e · c9f245a9ec260dd7 · 96b1871bc1ba12ee · 1ca10bf92f321a95 · 7dfecb4844b4a856 · 8c6e1d5941b91ba3 · a4627bf10b0cc729 · 4553c0a62d79d1eb · eed7acd0b5d6770d · 3d2c10d1dbe0c9d9 · d98ad542702d84f8 · 1f9ffc61a4cbc9b7 · 995e279a3e5f283b · 7612c79112d5a0ab · ab823e2959d74efb · 858f6a90a93ad0af · d69978935bc8736c · d79adaef9e6f030f · e32d4716c054721f · 75e7f53c9d9405fc · 699fa8186ca6f911 · 2083190dfcbe8da0 · 7d46c4acde5a00ac · 7c3cad4ab4656545 · f12c87d715e0ae99 · fea08121d6d0ae26 · 4e239ba1092924dd · a01834b5a6a79029 · c981e7e67cba0948 · b3bbdb33a225a8ad · 63feb53cf202817c · e8f1e765cdd591d9";"PGO0033 · Surf Fiction";"Main · Commercial · Stem";"écart-ayant-droit-à-valider · déjà-canonique";"needs-review"
"Alfirraz SCHEERS (NS)";"Alfirraz SCHEERS";"update";"3a653803fe918d5d";"PGO0027 · Future Beat";"Main";"identité-canonique-courante+normalisation-mécanique";"pilot-pending"
"Amaury Messelier";"Amaury Messelier";"update · no-change";"bdbfbe12ef9e6dc48d73ac3fc373ec05 · 70662976a5d5ce14c009ee062ea81250 · 23619d77c364468b8bb65eb12022abaf · d1ce3444e4e7fc28849e323383919ca4 · db9f4d34540111cb0fce4fe18fa0e182 · eca3d2c07729865b272bd9040b9d54cb · a55add011d972e9d8102bef3efaad20f · a7065f57755e1729e1cf8609274f8e82 · 0349983bac40df2ad42d5a606ad09560 · 9405f1c07211a156d34cfd3a3fe1dbba · 4a568e59144cfdf5c1ab5b47c48716d5 · 23467494a472c783de441ca0f7f39eab · 44c166f7999e701cd34911cd819a402b · f3465eefa48427f836f25d148c563554 · 2c24e0afb3348b6286b91ca3b4f95166 · c7e24d58322d060460c9502b7a4dae4b · 7de080f5dffa2451b0f13b2e871feeba · e9b1b3f1a01f951cc5d5257e12aaed26 · e4e33e234c3ab77c · 18959615b2e224b0 · 01ab1ed43e173105 · 7febbb19b82e1f12 · 7dc3e6190e2c8762 · 9439cd67780f309e · cde079836b1ed33b · 9865e9f62955830e · e72dea4d94b325e4 · c265958c00eaf8be · 718ad9e970a5dca5 · 3af2f70eb6dc5f3a · 8e336ec83211b568 · 93379dca1d1af9f9 · d83cc4502007d359 · f935e8d9b8ed6a52 · 936fbc29c1f8fba2 · 0f79b7c664421c57 · 24042677171b9a4c · 2a5d779f7cbac1d1 · d146b349455729ce · 52d90b2030213534 · 4a56344b50b43cce · 975e82a88b7fb2d0 · c2d8e4fe06394d07 · 6ec5ec98265c3d0a · 9d1d03690ac0412c · 7dc23641e39a35dc · 5c675473a14d1a99 · 3e065969c3246c70 · 4d8a461d52073d2f · 896f64c2887adb45 · 90226300638fdb7d · d20aa7227907adbf · 0095c926f85623fc · b612bd4d738c8c47 · 4ee9d02a31586763 · d7127ed61345bf0f · 88bf33a4c4855754 · 3ccc9bd775b3a7ad · cf4df871670ae06b · 7a14b14947af011c · 83997a6017c32077 · 5afff24229eb88e2 · a06e3a93f450a778 · a71ddcebc5420457 · 103eefbec514ac25 · fd6f550236a228ec · 6eabaf9ef27ad4ad · 68ec011f4fad5b27 · 7b917cee358d4a8a · a97352988c4a9518 · 58250ac0f7239d54 · d9ae4c9c6ee21e09 · 7e79be11653bb07d · f9bdd1d5891eb91c · 314f3a3a5a2eab5f · 5af43bc37b6ed578 · 270a9320eb4d17f6 · b7268a8d9256ba34 · 1a4b579e5dd70e8e · a0b956a31537b385 · 191e4ed41d7aa3cb · 4573696634f914f0 · 2c957d32fd5424cf · 3b9e109c64c5c85d · 77c2d9aa0e731e52 · 8857ee9a4fa31715 · 513452508e2f8a7e · eca268e19a2ec247 · 25d4cd2adae0940e · 62bf65b9d53500c2 · 735deeeb8471ad33 · d71efb85cf5fee8f · e14726eedde0a675 · 13d3dd4323e69ab9 · fdf03aa507cc56d2 · 6521069c83b13e3b · 2c90cb9120c1ac3b · 750670da7b02a064 · 4b612341a14e9547 · 2533aad79f5767c6 · 13e6b6824b3c9e4b · 931644209b461611 · ee941bc56d91b91f · eafe08b4c9278bf9 · 7d3d0df8781c1ff4 · ade0d667f6b5320d · 1a305af585e46155 · 39efa7dd3c416ba4 · d1df2678f3ca7019 · 03a35a7aec20af12 · 219ef25b59ad20bd · d334e5f8ac10bdb0 · 1afc40b71d0ef68d · d19857b21792faab · e495f652c688f25a · 9fd3c546e3f636ec · 03bd2884361fae2f · 3861465459193da0 · 9e9a5b63972ea48a · c48c7911b8eea08b · 74f8fbd55dd38df7 · 2da547e2106b07ed · faa80f150ff9898b · 1708d672f6e57c6e · d02e52c1c316c624 · 863c1d4d2f022e54 · c4f037068a448b56 · 8fe54e67209a1714 · 65ffe47266051936 · 0560f997c6e31c1c · 2b070573a3866f69 · 08a97ce651826df1 · e6c6af0b7e625695 · b47bbeff45cbcf4d · 0e1affea3f717c05 · 5048ed66ff9369f5 · 2c1d74b49f00c8cc · f94367984f19800a · b5778bf828a057e6 · 8bf3518d777eba55 · 29466c1152f9c9f7 · e68b0b717a77241f · 022dcea41f4073a2 · e9f44a56ae77721d · d2706fe5edd33d4c · 5bd09271aac48bff · d95d747cf8b0418e · 59e2483a02a82f21 · 2a0aa220f760a38e · fee4179b593d0445 · 3b978fd234b5c5f0 · 436d48318fd12850 · 3872224d2c9e6b01 · 1c1814d6d2c54d78 · 564d6aa0571f4b91 · f61e7230aa78788a · 8dc3f13644ea1860 · 0090cf3258cc6f3a · 9a087dedbe20c51b · 1e7ac67c54775d97 · 1a0fc806b1523520 · 29ea2bdbd13bc99c · 4f1a7db348a3a83a · 000981980cdfa34e · 2754dfa92efa3a7d · e6edc2b383a014db · 3606cc330d10ca7b · 167054375058a110 · 3e61debb00aef8e1 · 703c8e496bff9f84 · e07c395c6b2ab194 · 037249910cd1f71d · 6dd0023fc0e9b8a3 · 78f820d5015f56a3 · a9d38674afce5903 · 2c2059dd734c95bf · ede346f54879a8e8 · 3221c03b01b9369f · 0dd4c6e8c1f1f269 · 80930ec69f831fec · 0f9ed7a4f79d290a · 2c540ebd71daccb4 · deceec1602dd2e2a · e65e6d7c03907861 · 87d507cf765cc401 · 00e34d921a27b177 · 4d28e33baeac678d · 0373382d6ff95629 · 1190b8ae783e8fad · b911885c1383a23e · 2cb6e6f15c3ae4c3 · b2cc9a75d0c1f92e · b23c1784977ba396 · 5f88d7214307e1f0 · 819931f334a41131";"PGO0049 · Odyssey Suites And Remixes · PGO0035 · Trap In The Cloud · PGO0032 · Diggin Hip-Hop Vol.2 · PGO0024 · Caught In The Trap";"Main · Stem Bass · Stem Beats · Stem Beats Bass · Stem Orchestra Keyboards Voices · 60 sec · 30 sec · 15 sec · 6 sec · Stem Drums · Stem Orchestra Piano Voices · Stem · Commercial · General Underscore · Alternate";"identité-canonique-courante · déjà-canonique";"pilot-pending"
"Arandel (SACEM)";"Arandel";"update";"7d69dec15c3a6db681242b9d51ee95b7 · e57154abe0be307d469f86491a4c585f · 51ba834f13cd71ddfac140f3bdc94a32 · bd3072e9bf1eac0efca2ad1ed8005f58 · db080fcd7aa8c10f09997ba0fa095057 · 80321d727e928230b48437118767c182 · d8876bd9814ea283b328c924aeaf394a · cf3b494c634bfe30c0504b3a72c991ce · e83e4f5567b10a28b7c1442a84ca4c38 · 964eae06fe7e91e47a9f5369fe31e89e · 260fa1a365e1d537d78b973df31df383 · 2aec7df3dd85a1fd4e508fe4dd00f9bd · 57204e7d869cd9b763b3e1c04c94588e · bbb3f47c6c4c106900e53f607bb40ee6 · 739ca9bcd277da50eba81c8d478f4399 · 102f79659c0a7a457e325678d2845127 · d0ca544261562f37bdb1dd0e8566381a";"PGO0049 · Odyssey Suites And Remixes";"Main · Stem Drums Bass · Stem Orchestra · Stem Synthesizer · 60 sec · 30 sec · 15 sec · 6 sec · Stem Bass · Stem Drums · Stem Piano Synthesizer · Stem Strings";"identité-canonique-courante";"pilot-pending"
"Aristide Goncalves";"Aristide Goncalves";"no-change";"8e1dcf6aa9ac6d33771f862a0c9d5786 · 520602865841b7b134578cde6a14e399 · 12e7d98d7fef071d3966e5b2f77ab9ae";"PGO0048 · Solo Piano Vol.2";"Main";"déjà-canonique";"pilot-pending"
