"valeur_actuelle";"valeur_canonique_proposée";"actions";"pistes";"albums";"versions";"justifications";"validation"
"[VIDE]";"Minimatic";"update · no-change";"e4634d446f840997aa4a01086dc78f5d · 334e54b441787d3a9be0ff4653d32893 · c80e462881843eb2e52be2419c3cdf8b · 236727f04eb5e4573ba639882f392278 · aaa4a04cbdf0f49b0fce3a33c78e5b40 · 8dbf80ca29a06754f13b420640c39c79 · 87e0f06e0978bf9697298b65cf174515 · e6e4e1d4f86a8914840863fa91001b8c · 14ffab295a516a39c0f3ee6c367fc5a2 · 52ab46d43be3e2f649994241da5d8df1 · ebf6292bd7e33421d19ac6c2b3a66e46 · 96a05aedd42c6f6dd8b7ac55fd74fada · 4d35938510e85c3074c6ef8e0b128160 · 3563376668e34c4917efb326c1953b86 · fa02a20b3f456a8f37222483f5eaf8ec · e2d216d1d192a75ff3d31f21094d2e71 · e6eac8acb855ed8887104a7da7cae277 · a9a93bcea19aee111a216c0aa75bd221 · e198af0d97b9e0c5937f95045b7b3f7e · ebd5e621f22dcd3fa73db5d93121a6b4 · 0d758bd7555f09c0e8dbe0bb420627ee";"PGO0050 · Riviera Bizarre";"Main";"composer-vide-minimatic-attesté-par-ayant-droit · aucun-compositeur";"pilot-pending"
"208";"2080";"update";"769ee077fc732b66 · 42f5913a2d0b180d · 86b8412bf43ec5a8 · 6d7dc5ca54b15c71";"PGO0045 · Pixel Fiction";"Main";"correction-explicite-validée";"pilot-pending"
"2080";"2080";"no-change · update";"1e19c3fb4db7dfc9 · 0eca2e38f587f6cc · 769ee077fc732b66 · 42f5913a2d0b180d · 86b8412bf43ec5a8 · 6d7dc5ca54b15c71 · fae31eda02159382 · 1449ace6609cc034 · 22cc896eeec38224 · 07d9f4190973c110 · 62e1a1d22420ffa9 · a6b9bad02eb5390e · d802c7db2062edc1 · 893f1fcc31807e66 · be810288deb5782c · a8bf526c40440c26 · da2c2bf1cb5e66e8 · 32c12b77e162e59e";"PGO0045 · Pixel Fiction";"Main";"déjà-canonique · correction-explicite-validée";"pilot-pending"
"Adalber GAVIRA (SACEM)";"Adalber GAVIRA";"update";"b1358f5138902a06 · e52039e5d3bc7190 · 0e0f69cd94f39e03";"PGO0026 · Latin Experience";"Main";"suffixe-société · suffixe-société-et-identité-structurée";"pilot-pending"
"Alain Lubrano (NS)";"Alain Lubrano";"update";"d881b0c4f0a0d720";"PGO0006 · Acoustic Trip";"Main";"suffixe-société-et-identité-structurée";"pilot-pending"
"Alexandre Reiss (NS)";"Alexandre Reiss";"update";"699494de1b15e890";"PGO0015 · Reggae Experience";"Main";"suffixe-société-et-identité-structurée";"pilot-pending"
"Alfirraz SCHEERS (NS)";"Alfirraz SCHEERS";"update";"3a653803fe918d5d";"PGO0027 · Future Beat";"Main";"suffixe-société";"pilot-pending"
"Amaury Messelier";"Amaury Messelier";"no-change";"e4e33e234c3ab77c";"PGO0035 · Trap In The Cloud";"Main";"déjà-canonique";"pilot-pending"
"Amaury Messelier (NS)";"Amaury Messelier";"update";"cde079836b1ed33b · c265958c00eaf8be · 936fbc29c1f8fba2 · c2d8e4fe06394d07 · 9d1d03690ac0412c · 3e065969c3246c70 · 0095c926f85623fc · 83997a6017c32077 · a71ddcebc5420457 · 58250ac0f7239d54 · 1a4b579e5dd70e8e · 77c2d9aa0e731e52 · eca268e19a2ec247 · fdf03aa507cc56d2 · 2533aad79f5767c6 · ee941bc56d91b91f · 1afc40b71d0ef68d · c48c7911b8eea08b · 1708d672f6e57c6e · d02e52c1c316c624 · 08a97ce651826df1 · b5778bf828a057e6 · d95d747cf8b0418e";"PGO0035 · Trap In The Cloud";"Main";"suffixe-société-et-identité-structurée · suffixe-société";"pilot-pending"
"Amaury Messelier (SACEM)";"Amaury Messelier";"update";"bdbfbe12ef9e6dc48d73ac3fc373ec05 · 9405f1c07211a156d34cfd3a3fe1dbba · 59e2483a02a82f21 · 1e7ac67c54775d97 · 1a0fc806b1523520 · 2754dfa92efa3a7d · e6edc2b383a014db · 3e61debb00aef8e1 · 80930ec69f831fec · 0f9ed7a4f79d290a · e65e6d7c03907861 · 4d28e33baeac678d · b911885c1383a23e · b23c1784977ba396";"PGO0049 · Odyssey Suites And Remixes · PGO0032 · Diggin Hip-Hop Vol.2 · PGO0024 · Caught In The Trap";"Main";"suffixe-société-et-identité-structurée · suffixe-société";"pilot-pending"
