"album_code";"album_id";"album";"track_id";"main_track_id";"titre";"version";"composer_avant";"composer_proposé";"action";"justification";"validation"
"PGO0049";"5b425421282dc96d";"Odyssey Suites And Remixes";"96de051c1dde5002b742fc2ea45dafcc";"";"Free Spirits Drixxxe Remix";"Main";"Sebastien Blanchon (SACEM) · Drixxxe (SACEM)";"Sébastien Blanchon · Drixxxé";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
"PGO0049";"5b425421282dc96d";"Odyssey Suites And Remixes";"ce4749af937708738ee5de7e90f8c3e0";"96de051c1dde5002b742fc2ea45dafcc";"Free Spirits Drixxxe Remix Stem Bass";"Stem Bass";"Sebastien Blanchon (SACEM) · Drixxxe (SACEM)";"Sébastien Blanchon · Drixxxé";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
"PGO0049";"5b425421282dc96d";"Odyssey Suites And Remixes";"3fb5a07980d8317f6f46306c0980aef1";"96de051c1dde5002b742fc2ea45dafcc";"Free Spirits Drixxxe Remix Stem Drums";"Stem Drums";"Sebastien Blanchon (SACEM) · Drixxxe (SACEM)";"Sébastien Blanchon · Drixxxé";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
"PGO0049";"5b425421282dc96d";"Odyssey Suites And Remixes";"167c9d8745fcd10bf37759d770460aca";"96de051c1dde5002b742fc2ea45dafcc";"Free Spirits Drixxxe Remix Stem Piano Cymbalum";"Stem Piano Cymbalum";"Sebastien Blanchon (SACEM) · Drixxxe (SACEM)";"Sébastien Blanchon · Drixxxé";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
"PGO0049";"5b425421282dc96d";"Odyssey Suites And Remixes";"98eea9393f3983f46c5163a4a109892a";"96de051c1dde5002b742fc2ea45dafcc";"Free Spirits Drixxxe Remix Stem Orchestra";"Stem Orchestra";"Sebastien Blanchon (SACEM) · Drixxxe (SACEM)";"Sébastien Blanchon · Drixxxé";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
"PGO0049";"5b425421282dc96d";"Odyssey Suites And Remixes";"e571e0eefd2173bb2b18ef3397230865";"96de051c1dde5002b742fc2ea45dafcc";"Free Spirits Drixxxe Remix 60 sec";"60 sec";"Sebastien Blanchon (SACEM) · Drixxxe (SACEM)";"Sébastien Blanchon · Drixxxé";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
"PGO0049";"5b425421282dc96d";"Odyssey Suites And Remixes";"a943019b1a6e28a262b5b1eedc626a11";"96de051c1dde5002b742fc2ea45dafcc";"Free Spirits Drixxxe Remix 30 sec";"30 sec";"Sebastien Blanchon (SACEM) · Drixxxe (SACEM)";"Sébastien Blanchon · Drixxxé";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
"PGO0049";"5b425421282dc96d";"Odyssey Suites And Remixes";"ea07702155bd3274a5ac0ae0ae18b2f8";"96de051c1dde5002b742fc2ea45dafcc";"Free Spirits Drixxxe Remix 15 sec";"15 sec";"Sebastien Blanchon (SACEM) · Drixxxe (SACEM)";"Sébastien Blanchon · Drixxxé";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
"PGO0049";"5b425421282dc96d";"Odyssey Suites And Remixes";"a110253f847cae2476f356a5a893252e";"96de051c1dde5002b742fc2ea45dafcc";"Free Spirits Drixxxe Remix 6 sec";"6 sec";"Sebastien Blanchon (SACEM) · Drixxxe (SACEM)";"Sébastien Blanchon · Drixxxé";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
"PGO0049";"5b425421282dc96d";"Odyssey Suites And Remixes";"01fc04488557da77b813d65bcbe5ef63";"5640e142e43c8014af3db832b13ee61a";"Free Spirits Flore Remix Stem Synthesizer";"Stem Synthesizer";"Sebastien Blanchon (SACEM) · Flore Morchin (SACEM)";"Sébastien Blanchon · Flore Morfin";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
"PGO0049";"5b425421282dc96d";"Odyssey Suites And Remixes";"a54a0e88d95a7970b367f2e6c3d1b301";"5640e142e43c8014af3db832b13ee61a";"Free Spirits Flore Remix Stem Strings";"Stem Strings";"Sebastien Blanchon (SACEM) · Flore Morchin (SACEM)";"Sébastien Blanchon · Flore Morfin";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
"PGO0049";"5b425421282dc96d";"Odyssey Suites And Remixes";"c75060cc4017aca8068e1f89ce64d54a";"5640e142e43c8014af3db832b13ee61a";"Free Spirits Flore Remix 60 sec";"60 sec";"Sebastien Blanchon (SACEM) · Flore Morchin (SACEM)";"Sébastien Blanchon · Flore Morfin";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
"PGO0049";"5b425421282dc96d";"Odyssey Suites And Remixes";"b1f2b29ce00f5e6c136ce61d26c71e98";"5640e142e43c8014af3db832b13ee61a";"Free Spirits Flore Remix 30 sec";"30 sec";"Sebastien Blanchon (SACEM) · Flore Morchin (SACEM)";"Sébastien Blanchon · Flore Morfin";"update";"identité-canonique-courante";"à-valider-avant-première-sauvegarde"
