"album_code";"album_id";"album";"track_id";"main_track_id";"titre";"version";"composer_avant";"composer_proposé";"action";"justification";"validation"
"PGO0050";"9f243af3f3bbbbdd";"Riviera Bizarre";"e4634d446f840997aa4a01086dc78f5d";"";"Cote D'Exotica";"Main";"";"Minimatic";"update";"composer-vide-minimatic-attesté-par-ayant-droit";"à-valider-avant-première-sauvegarde"
"PGO0050";"9f243af3f3bbbbdd";"Riviera Bizarre";"334e54b441787d3a9be0ff4653d32893";"";"Moi Je N'Aimerais Que Toi";"Main";"";"Minimatic";"update";"composer-vide-minimatic-attesté-par-ayant-droit";"à-valider-avant-première-sauvegarde"
"PGO0050";"9f243af3f3bbbbdd";"Riviera Bizarre";"236727f04eb5e4573ba639882f392278";"";"Moi Je N'Aimerais Que Toi Electro Pop";"Main";"";"Minimatic";"update";"composer-vide-minimatic-attesté-par-ayant-droit";"à-valider-avant-première-sauvegarde"
"PGO0050";"9f243af3f3bbbbdd";"Riviera Bizarre";"8dbf80ca29a06754f13b420640c39c79";"";"Miss Starlette";"Main";"";"Minimatic";"update";"composer-vide-minimatic-attesté-par-ayant-droit";"à-valider-avant-première-sauvegarde"
"PGO0050";"9f243af3f3bbbbdd";"Riviera Bizarre";"87e0f06e0978bf9697298b65cf174515";"";"Au Crash Club";"Main";"";"Minimatic";"update";"composer-vide-minimatic-attesté-par-ayant-droit";"à-valider-avant-première-sauvegarde"
"PGO0050";"9f243af3f3bbbbdd";"Riviera Bizarre";"52ab46d43be3e2f649994241da5d8df1";"";"San Remo Imbroglio";"Main";"";"Minimatic";"update";"composer-vide-minimatic-attesté-par-ayant-droit";"à-valider-avant-première-sauvegarde"
"PGO0050";"9f243af3f3bbbbdd";"Riviera Bizarre";"ebf6292bd7e33421d19ac6c2b3a66e46";"";"Fifty Shades Of Azur";"Main";"";"Minimatic";"update";"composer-vide-minimatic-attesté-par-ayant-droit";"à-valider-avant-première-sauvegarde"
"PGO0050";"9f243af3f3bbbbdd";"Riviera Bizarre";"96a05aedd42c6f6dd8b7ac55fd74fada";"";"Casino Robbery";"Main";"";"Minimatic";"update";"composer-vide-minimatic-attesté-par-ayant-droit";"à-valider-avant-première-sauvegarde"
"PGO0050";"9f243af3f3bbbbdd";"Riviera Bizarre";"3563376668e34c4917efb326c1953b86";"";"Groovy Saint Tropez";"Main";"";"Minimatic";"update";"composer-vide-minimatic-attesté-par-ayant-droit";"à-valider-avant-première-sauvegarde"
"PGO0050";"9f243af3f3bbbbdd";"Riviera Bizarre";"fa02a20b3f456a8f37222483f5eaf8ec";"";"Hand In Hand";"Main";"";"Minimatic";"update";"composer-vide-minimatic-attesté-par-ayant-droit";"à-valider-avant-première-sauvegarde"
"PGO0050";"9f243af3f3bbbbdd";"Riviera Bizarre";"e2d216d1d192a75ff3d31f21094d2e71";"";"Like A Flash";"Main";"";"Minimatic";"update";"composer-vide-minimatic-attesté-par-ayant-droit";"à-valider-avant-première-sauvegarde"
"PGO0050";"9f243af3f3bbbbdd";"Riviera Bizarre";"a9a93bcea19aee111a216c0aa75bd221";"";"Cognac In The Rain";"Main";"";"Minimatic";"update";"composer-vide-minimatic-attesté-par-ayant-droit";"à-valider-avant-première-sauvegarde"
"PGO0050";"9f243af3f3bbbbdd";"Riviera Bizarre";"e198af0d97b9e0c5937f95045b7b3f7e";"";"Stupido Bossa";"Main";"";"Minimatic";"update";"composer-vide-minimatic-attesté-par-ayant-droit";"à-valider-avant-première-sauvegarde"
"PGO0050";"9f243af3f3bbbbdd";"Riviera Bizarre";"ebd5e621f22dcd3fa73db5d93121a6b4";"";"Riviera Sunset";"Main";"";"Minimatic";"update";"composer-vide-minimatic-attesté-par-ayant-droit";"à-valider-avant-première-sauvegarde"
"PGO0050";"9f243af3f3bbbbdd";"Riviera Bizarre";"0d758bd7555f09c0e8dbe0bb420627ee";"";"Souvenirs From Monaco";"Main";"";"Minimatic";"update";"composer-vide-minimatic-attesté-par-ayant-droit";"à-valider-avant-première-sauvegarde"
"PGO0049";"5b425421282dc96d";"Odyssey Suites And Remixes";"aa354a65ef3409a815d5b3503cb77a3b";"";"Liquid Flore Remix";"Main";"Sebastien Blanchon (SACEM) · Flore Morchin (SACEM)";"Sebastien BLANCHON · Flore Morfin";"update";"suffixe-société-et-identité-structurée+correction-explicite-validée";"à-valider-avant-première-sauvegarde"
"PGO0049";"5b425421282dc96d";"Odyssey Suites And Remixes";"bdbfbe12ef9e6dc48d73ac3fc373ec05";"";"Take Off Arom Drill Remix";"Main";"Sebastien Blanchon (SACEM) · Amaury Messelier (SACEM)";"Sebastien BLANCHON · Amaury Messelier";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0049";"5b425421282dc96d";"Odyssey Suites And Remixes";"9405f1c07211a156d34cfd3a3fe1dbba";"";"Stalking Arom Remix";"Main";"Sebastien Blanchon (SACEM) · Amaury Messelier (SACEM)";"Sebastien BLANCHON · Amaury Messelier";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0045";"bb238ebaef5a4b02";"Pixel Fiction";"769ee077fc732b66";"";"Living For The Music";"Main";"2080 · 208";"2080";"update";"correction-explicite-validée";"à-valider-avant-première-sauvegarde"
"PGO0045";"bb238ebaef5a4b02";"Pixel Fiction";"42f5913a2d0b180d";"";"Living For The Music Instrumental";"Main";"2080 · 208";"2080";"update";"correction-explicite-validée";"à-valider-avant-première-sauvegarde"
"PGO0045";"bb238ebaef5a4b02";"Pixel Fiction";"86b8412bf43ec5a8";"";"The Machine";"Main";"2080 · 208";"2080";"update";"correction-explicite-validée";"à-valider-avant-première-sauvegarde"
"PGO0045";"bb238ebaef5a4b02";"Pixel Fiction";"6d7dc5ca54b15c71";"";"The Machine Instrumental";"Main";"2080 · 208";"2080";"update";"correction-explicite-validée";"à-valider-avant-première-sauvegarde"
"PGO0035";"e74a00033e35e045";"Trap In The Cloud";"e4e33e234c3ab77c";"";"SHINKANSEN";"Main";"Amaury Messelier · Liqid";"Amaury Messelier · Liqid";"no-change";"déjà-canonique";"à-valider-avant-première-sauvegarde"
"PGO0035";"e74a00033e35e045";"Trap In The Cloud";"cde079836b1ed33b";"";"SHINKANSEN (INSTRUMENTAL)";"Main";"Amaury Messelier (NS)";"Amaury Messelier";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0035";"e74a00033e35e045";"Trap In The Cloud";"c265958c00eaf8be";"";"SERIAL DREAMER";"Main";"Amaury Messelier (NS)";"Amaury Messelier";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0035";"e74a00033e35e045";"Trap In The Cloud";"936fbc29c1f8fba2";"";"SPACE MOUNTAINS (EXPLICIT LYRICS)";"Main";"Amaury Messelier (NS) · Cory TATE (NS) · Chris KEMP (NS) · Cally REED (NS)";"Amaury Messelier · Cory TATE · Chris KEMP · Cally REED";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0035";"e74a00033e35e045";"Trap In The Cloud";"c2d8e4fe06394d07";"";"SPACE MOUNTAINS (CLEAN VERSION)";"Main";"Amaury Messelier (NS) · Cory TATE (NS) · Chris KEMP (NS) · Cally REED (NS)";"Amaury Messelier · Cory TATE · Chris KEMP · Cally REED";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0035";"e74a00033e35e045";"Trap In The Cloud";"9d1d03690ac0412c";"";"SPACE MOUNTAINS (INSTRUMENTAL)";"Main";"Amaury Messelier (NS)";"Amaury Messelier";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0035";"e74a00033e35e045";"Trap In The Cloud";"3e065969c3246c70";"";"UFO ARMADA";"Main";"Amaury Messelier (NS)";"Amaury Messelier";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0035";"e74a00033e35e045";"Trap In The Cloud";"0095c926f85623fc";"";"LE FEU";"Main";"Amaury Messelier (NS) · Charlotte DURAN (NS)";"Amaury Messelier · Charlotte DURAN";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0035";"e74a00033e35e045";"Trap In The Cloud";"83997a6017c32077";"";"LE FEU (INSTRUMENTAL)";"Main";"Amaury Messelier (NS)";"Amaury Messelier";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0035";"e74a00033e35e045";"Trap In The Cloud";"a71ddcebc5420457";"";"VISIONARY ZONE";"Main";"Amaury Messelier (NS)";"Amaury Messelier";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0035";"e74a00033e35e045";"Trap In The Cloud";"58250ac0f7239d54";"";"ELFY'S CLOUD";"Main";"Amaury Messelier (NS)";"Amaury Messelier";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0035";"e74a00033e35e045";"Trap In The Cloud";"1a4b579e5dd70e8e";"";"HIGHER AILLEURS";"Main";"Amaury Messelier (NS)";"Amaury Messelier";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0035";"e74a00033e35e045";"Trap In The Cloud";"77c2d9aa0e731e52";"";"HIGHER AILLEURS (INSTRUMENTAL)";"Main";"Amaury Messelier (NS)";"Amaury Messelier";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0035";"e74a00033e35e045";"Trap In The Cloud";"eca268e19a2ec247";"";"CLOUDY LOVE";"Main";"Amaury Messelier (NS)";"Amaury Messelier";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
"PGO0035";"e74a00033e35e045";"Trap In The Cloud";"fdf03aa507cc56d2";"";"MAYDAY IN THE CLOUD";"Main";"Amaury Messelier (NS) · Camille LUCA (NS)";"Amaury Messelier · Camille LUCA";"update";"suffixe-société-et-identité-structurée";"à-valider-avant-première-sauvegarde"
