"album_code";"album_id";"album";"track_id";"main_track_id";"titre";"version";"alternate";"composer_avant";"composer_proposé";"action";"justification";"artist";"publisher";"ayants_droit_structurés";"validation"
"PGO0055";"8b271091f733803b";"The World Wedding March";"abec363fcedca644cacf4c0183c8fad5";"";"An Afrobeat Wedding";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien GIRARD · Xavier Sibre";"update";"variante-mécanique-attestée-par-ayant-droit";"";"PARIGO";"Fabien GIRARD|Composer|SACEM|637485318| · PARIGO|Original Publisher|SACEM|461629743| · Xavier Sibre|Composer|SACEM|475989382|";"pilot-pending"
"PGO0055";"8b271091f733803b";"The World Wedding March";"2f9a6d0dc211ad056b2f9060eabc464f";"";"An Afrobeat Wedding Underscore Drums Perc Bass";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien Girard · Xavier Sibre";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
"PGO0055";"8b271091f733803b";"The World Wedding March";"255ad0a8c8ba1e63b043fe5e89aaf51f";"";"An Afrobeat Wedding Underscore No Melody Drums";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien Girard · Xavier Sibre";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
"PGO0055";"8b271091f733803b";"The World Wedding March";"7a1ef94a77f8baa05196999db2347634";"";"An Afrobeat Wedding Underscore Horn Section";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien Girard · Xavier Sibre";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
"PGO0055";"8b271091f733803b";"The World Wedding March";"4a6c2cddc52793ce5c8115aa4f64e885";"";"Yeye It's My Wedding Day";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien GIRARD · Xavier Sibre";"update";"variante-mécanique-attestée-par-ayant-droit";"";"PARIGO";"PARIGO|Original Publisher|SACEM|461629743| · Fabien GIRARD|Composer|SACEM|637485318| · Xavier Sibre|Composer|SACEM|475989382|";"pilot-pending"
"PGO0055";"8b271091f733803b";"The World Wedding March";"a320e75a9f7c6256053c581a3809be20";"";"Yeye It's My Wedding Day Underscore";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien Girard · Xavier Sibre";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
"PGO0055";"8b271091f733803b";"The World Wedding March";"1be33a337fe4c60a55f9ff61fb4da4c7";"";"Yeye It's My Wedding Day Underscore Drums & Bass";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien Girard · Xavier Sibre";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
"PGO0055";"8b271091f733803b";"The World Wedding March";"d0ae6398cce4ec6f3cb70ce10c6b7894";"";"Yeye It's My Wedding Day Underscore Instrumental";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien Girard · Xavier Sibre";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
"PGO0055";"8b271091f733803b";"The World Wedding March";"65b6ec742204860de7377947376c8572";"";"Yeye It's My Wedding Day Underscore No Melody";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien Girard · Xavier Sibre";"no-change";"déjà-canonique";"";"PARIGO";"";"no-change"
"PGO0055";"8b271091f733803b";"The World Wedding March";"348672a4d7d756539bcef96d73db9958";"";"A Wedding At The Vanguard";"Main";"false";"Fabien Girard · Xavier Sibre";"Fabien GIRARD · Xavier Sibre";"update";"variante-mécanique-attestée-par-ayant-droit";"";"PARIGO";"PARIGO|Original Publisher|SACEM|461629743| · Fabien GIRARD|Composer|SACEM|637485318| · Xavier Sibre|Composer|SACEM|475989382|";"pilot-pending"
