section,name,method,url,body_mode,input_fields,request_example_source,request_json_status,response_top_level_fields
Public API > Getting Started,Implementation Guide - Getting Started,INFO,,,,,not-applicable,
Public API > Getting Started,Get Authorised,POST,{HM_ServiceAPI_AuthUrl},urlencoded,"grant_type, client_id, client_secret",request,not-applicable,"access_token, expires_in, token_type"
Public API > Getting Started,Get Service Token,GET,{HM_ServiceAPI_URL}/getservicetoken,,,,not-applicable,"Token, Token.Value, Token.Expiry, Token.UTCOffset, Token.Type, Token.IsOfSingleUse"
Public API > Getting Started,Validate Service Token,GET,{HM_ServiceAPI_URL}/getservicetokeninfo/{HM_ServiceAPI_Token},,,,not-applicable,"Token, Token.Value, Token.Expiry, Token.UTCOffset, Token.Type, Token.IsOfSingleUse, Token.TokenUsageState"
Public API > Getting Started,Expire Service Token,GET,{HM_ServiceAPI_URL}/expiretoken/{HM_ServiceAPI_Token},,,,not-applicable,Code
Public API > Service Information,Implementation Guide - Waveform,INFO,,,,,not-applicable,
Public API > Service Information,Implementation Guide - Tracking Usage & Asset URLs,INFO,,,,,not-applicable,
Public API > Service Information,Get Service Info (Service Asset URLs and File Formats),GET,{HM_ServiceAPI_URL}/getserviceinfo/{HM_ServiceAPI_Token},,,,not-applicable,
Public API > Service Information,Get Service Attributes,GET,{HM_ServiceAPI_URL}/getserviceattribute/{HM_ServiceAPI_Token}/{attributeTypeCode},,,,not-applicable,"Attributes, Attributes[].ID, Attributes[].Value, Attributes[].Comments, Attributes[].AttributeTypeCode, Attributes[].AttributeTypeName"
Public API > Service Information,Get Short URL,POST,{HM_ServiceAPI_URL}/getshorturl/{HM_ServiceAPI_Token},raw,URL,response.originalRequest,valid,Url
Public API > Regions & Countries,Get Regions,GET,{HM_ServiceAPI_URL}/getregions/{HM_ServiceAPI_Token},,,,not-applicable,"Regions, Regions[].ID, Regions[].Name, Regions[].Countries, Regions[].Countries[].TLD, Regions[].Countries[].Name, Regions[].Countries[].IsTaxed, Regions[].Countries[].TaxRate, Regions[].SubscribeDefault, Regions[].LicensingModel, Regions[].Currency, Regions[].Currency.Name, Regions[].Currency.Code, Regions[].Currency.Symbol, Regions[].Blocked"
Public API > Regions & Countries,Get Region,GET,{HM_ServiceAPI_URL}/getregion/{HM_ServiceAPI_Token}/{RegionID},,,,not-applicable,"Region, Region.ID, Region.Name, Region.Countries, Region.Countries[].TLD, Region.Countries[].Name, Region.Countries[].IsTaxed, Region.Countries[].TaxRate, Region.LanguageCode, Region.SubscribeDefault, Region.LicensingModel, Region.Currency, Region.Currency.Name, Region.Currency.Code, Region.Currency.Symbol, Region.Blocked"
Public API > Regions & Countries,Get Regions By IP,GET,{HM_ServiceAPI_URL}/getregionbyip/{HM_ServiceAPI_Token}?ip={IP},,,,not-applicable,"Region, Region.ID, Region.Name, Region.Countries, Region.Countries[].TLD, Region.Countries[].Name, Region.Countries[].IsTaxed, Region.Countries[].TaxRate, Region.LanguageCode, Region.SubscribeDefault, Region.LicensingModel, Region.Currency, Region.Currency.Name, Region.Currency.Code, Region.Currency.Symbol, Region.Blocked, Country, Country.TLD, Country.Name"
Public API > Regions & Countries,Get Countries,GET,{HM_ServiceAPI_URL}/getcountries/{HM_ServiceAPI_Token},,,,not-applicable,"Countries, Countries[].TLD, Countries[].Name, Countries[].RegionID, Countries[].RegionName, Countries[].IsTaxed, Countries[].TaxRate"
Public API > Guest Management,Authenticate Guest Member,GET,{HM_ServiceAPI_URL}/getguestmembertoken/{HM_ServiceAPI_Token}/{Region_ID},,,,not-applicable,"Token, Token.Value, Token.Expiry, Token.UTCOffset, Token.Type, Token.IsOfSingleUse"
Public API > Accessing Metadata > Libraries,Get Labels/Libraries,GET,{HM_ServiceAPI_URL}/getlibraries/{HM_ServiceAPI_MemberToken},,,,not-applicable,"Libraries, Libraries[].Featured, Libraries[].Detail, Libraries[].Name, Libraries[].ID, Libraries[].Location, Libraries[].Website, Libraries[].LibraryLogoUrl, Libraries[].Status, Libraries[].LastUpdated"
Public API > Accessing Metadata > Libraries,Get Labels/Libraries (Include Inactive),GET,{HM_ServiceAPI_URL}/getlibraries/{HM_ServiceAPI_MemberToken}/includeinactive,,,,not-applicable,"Libraries, Libraries[].Featured, Libraries[].Detail, Libraries[].Name, Libraries[].ID, Libraries[].Location, Libraries[].Website, Libraries[].LibraryLogoUrl, Libraries[].Status, Libraries[].LastUpdated"
Public API > Accessing Metadata > Libraries,Get Label/Library,GET,{HM_ServiceAPI_URL}/getlibrary/{HM_ServiceAPI_MemberToken}/{LibraryID}?returnCodes={returnCodes},,,,not-applicable,"Library, Library.Featured, Library.Detail, Library.Profile, Library.Name, Library.ID, Library.Location, Library.Website, Library.LibraryLogoUrl, Library.Status, Library.LastUpdated, Library.LanguageItems, Library.Codes"
Public API > Accessing Metadata > Styles,Get Style Groups,GET,{HM_ServiceAPI_URL}/getstylegroups/{HM_ServiceAPI_MemberToken},,,,not-applicable,"Groups, Groups[].Name, Groups[].ID"
Public API > Accessing Metadata > Styles,Get Styles,GET,{HM_ServiceAPI_URL}/getstyles/{HM_ServiceAPI_MemberToken}?groupID={GroupID}&allowEmptyStyle=false,,,,not-applicable,"Styles, Styles[].ID, Styles[].Name, Styles[].LanguageItems, Styles[].HasArtwork"
Public API > Accessing Metadata > Styles,Get Styles By Language Code,GET,{HM_ServiceAPI_URL}/getstyles/{HM_ServiceAPI_MemberToken}/{LanguageCode}?groupID={GroupID},,,,not-applicable,"Styles, Styles[].ID, Styles[].Name, Styles[].LanguageItems, Styles[].HasArtwork"
Public API > Accessing Metadata > Albums,Get Albums By Label/Library,GET,{HM_ServiceAPI_URL}/getalbums/{HM_ServiceAPI_MemberToken}/{LibraryID},,,,not-applicable,"Albums, Albums[].LibraryID, Albums[].LibraryName, Albums[].LibraryFeatured, Albums[].Featured, Albums[].ReleaseDate, Albums[].Code, Albums[].Detail, Albums[].Name, Albums[].DisplayTitle, Albums[].Keywords, Albums[].ID, Albums[].Status, Albums[].LastUpdated"
Public API > Accessing Metadata > Albums,Get Albums By Label/Library (Include Inactive),GET,{HM_ServiceAPI_URL}/getalbums/{HM_ServiceAPI_MemberToken}/{LibraryID}/includeinactive,,,,not-applicable,"Albums, Albums[].LibraryID, Albums[].LibraryName, Albums[].LibraryFeatured, Albums[].Featured, Albums[].ReleaseDate, Albums[].Code, Albums[].Detail, Albums[].Name, Albums[].DisplayTitle, Albums[].Keywords, Albums[].ID, Albums[].Status, Albums[].LastUpdated"
Public API > Accessing Metadata > Albums,Get Albums By Style,POST,{HM_ServiceAPI_URL}/getalbumsbystyles/{HM_ServiceAPI_MemberToken},raw,"style, style[].id, mainOnly",response.originalRequest,valid,"Albums, Albums[].LibraryID, Albums[].LibraryName, Albums[].LibraryFeatured, Albums[].Featured, Albums[].ReleaseDate, Albums[].Code, Albums[].Detail, Albums[].Name, Albums[].DisplayTitle, Albums[].Keywords, Albums[].ID, Albums[].TrackCount, Albums[].LastUpdated"
Public API > Accessing Metadata > Albums,Get Albums By Album,POST,{HM_ServiceAPI_URL}/getalbumsbyids/{HM_ServiceAPI_MemberToken},raw,"albumid, albumid[].id",response.originalRequest,valid,"Albums, Albums[].LibraryID, Albums[].LibraryName, Albums[].LibraryFeatured, Albums[].Featured, Albums[].ReleaseDate, Albums[].Code, Albums[].Detail, Albums[].Name, Albums[].DisplayTitle, Albums[].Keywords, Albums[].ID, Albums[].LastUpdated, Albums[].Styles, Albums[].Styles[].ID, Albums[].Styles[].Name"
